ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,mx_uT,my_uT,mz_uT
-0.382813,-0.191406,9.425781,0.0,0.001953,0.0,-19.687,-46.625,-11.938
-0.382813,-0.191406,9.425781,0.0,0.001953,0.0,-20.062,-46.563,-13.125
-0.34375,-0.191406,9.460938,0.0,0.001953,0.0,-20.062,-46.563,-13.125
-0.34375,-0.191406,9.425781,0.0,0.001953,0.0,-20.062,-46.563,-13.125
-0.34375,-0.191406,9.425781,0.0,0.001953,0.0,-19.687,-46.563,-12.313
-0.34375,-0.191406,9.425781,0.0,0.001953,0.0,-19.687,-47.313,-12.688
-0.34375,-0.191406,9.425781,0.0,0.001953,0.0,-19.687,-47.313,-12.688
-0.382813,-0.191406,9.382813,0.0,0.001953,0.0,-19.687,-47.313,-12.688
-0.382813,-0.191406,9.382813,0.0,0.001953,0.0,-19.0,-45.875,-12.313
-0.382813,-0.191406,9.382813,0.0,0.001953,0.0,-19.687,-46.188,-13.125
-0.382813,-0.191406,9.425781,0.0,0.001953,0.0,-19.687,-46.188,-13.125
-0.34375,-0.191406,9.425781,0.0,0.001953,0.0,-19.687,-46.188,-13.125
-0.34375,-0.191406,9.425781,0.0,0.001953,0.0,-19.687,-46.25,-12.313
-0.382813,-0.191406,9.425781,0.001953,0.001953,0.0,-19.687,-46.25,-12.313
-0.34375,-0.152344,9.421875,0.001953,0.001953,0.0,-20.75,-46.625,-11.875
-0.34375,-0.191406,9.425781,-0.001953,0.0,-0.001953,-20.75,-46.625,-11.875
-0.34375,-0.191406,9.425781,-0.001953,0.0,-0.001953,-20.75,-46.625,-11.875
-0.382813,-0.191406,9.425781,-0.001953,0.0,-0.001953,-20.75,-46.563,-12.313
-0.34375,-0.191406,9.425781,-0.001953,0.0,-0.001953,-20.75,-46.563,-12.313
-0.382813,-0.191406,9.425781,-0.001953,0.0,-0.001953,-20.75,-46.563,-12.313
-0.382813,-0.191406,9.460938,-0.001953,0.0,-0.001953,-19.687,-45.875,-12.313
-0.382813,-0.191406,9.460938,-0.001953,0.0,-0.001953,-19.687,-46.625,-11.5
-0.382813,-0.191406,9.460938,0.001953,0.001953,-0.001953,-20.375,-46.563,-13.125
-0.34375,-0.152344,9.421875,0.001953,0.001953,-0.001953,-20.375,-46.563,-13.125
-0.34375,-0.191406,9.460938,0.001953,0.001953,-0.001953,-20.375,-46.563,-13.125
-0.382813,-0.191406,9.425781,0.001953,0.001953,-0.001953,-20.375,-46.563,-13.125
-0.382813,-0.191406,9.425781,0.001953,0.001953,-0.001953,-20.062,-46.625,-11.938
-0.34375,-0.191406,9.460938,0.001953,0.001953,-0.001953,-20.062,-46.625,-11.938
-0.34375,-0.191406,9.425781,0.001953,0.001953,-0.001953,-20.062,-46.625,-11.938
-0.34375,-0.191406,9.425781,0.001953,0.001953,-0.001953,-19.687,-46.938,-11.938
-0.34375,-0.191406,9.425781,0.0,0.0,-0.001953,-19.687,-46.938,-11.938
-0.34375,-0.191406,9.460938,0.0,0.0,-0.001953,-20.062,-48.0,-12.688
-0.34375,-0.191406,9.460938,0.001953,0.0,0.001953,-20.062,-48.0,-12.688
-0.34375,-0.191406,9.460938,0.001953,0.0,0.001953,-20.062,-48.0,-12.688
-0.34375,-0.191406,9.460938,0.0,0.0,0.0,-20.437,-46.625,-11.875
-0.34375,-0.152344,9.421875,0.0,0.0,0.0,-20.437,-46.625,-11.875
-0.34375,-0.191406,9.460938,0.0,0.0,0.0,-19.0,-45.875,-12.75
-0.34375,-0.191406,9.425781,0.0,0.0,0.0,-19.0,-45.875,-12.75
-0.34375,-0.191406,9.425781,0.0,0.0,0.0,-19.0,-45.875,-12.75
-0.382813,-0.230469,9.425781,0.0,0.0,0.0,-20.062,-45.875,-11.5
-0.34375,-0.191406,9.460938,0.0,0.0,0.0,-20.062,-45.875,-11.5
-0.382813,-0.191406,9.460938,0.0,0.0,0.0,-20.062,-45.875,-11.5
-0.382813,-0.191406,9.460938,0.0,0.0,0.0,-21.125,-45.875,-11.5
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-21.125,-45.875,-11.5
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.437,-46.25,-11.938
-0.34375,-0.152344,9.464844,0.0,0.0,0.0,-20.437,-46.25,-11.938
-0.34375,-0.191406,9.425781,0.0,0.0,0.0,-20.437,-46.25,-11.938
-0.34375,-0.191406,9.425781,0.0,0.0,0.0,-19.687,-45.125,-11.563
-0.34375,-0.191406,9.425781,0.0,0.0,0.0,-19.687,-45.125,-11.563
-0.34375,-0.191406,9.425781,0.0,0.0,0.0,-20.437,-46.625,-11.5
-0.34375,-0.191406,9.425781,0.0,0.0,0.0,-20.437,-46.625,-11.5
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.437,-46.625,-11.5
-0.34375,-0.152344,9.464844,0.0,0.0,0.0,-20.437,-46.625,-11.5
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-19.0,-46.25,-11.938
-0.34375,-0.191406,9.460938,0.0,0.0,0.0,-19.0,-46.25,-11.938
-0.382813,-0.191406,9.460938,0.0,0.0,0.0,-20.062,-47.313,-13.063
-0.382813,-0.191406,9.460938,0.0,0.0,0.0,-20.062,-47.313,-12.313
-0.34375,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-47.313,-12.313
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.437,-46.625,-11.875
-0.382813,-0.191406,9.460938,0.0,0.0,0.0,-20.437,-46.625,-11.875
-0.382813,-0.191406,9.460938,0.0,0.0,0.0,-20.437,-46.625,-11.875
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-46.25,-12.313
-0.34375,-0.191406,9.460938,0.0,0.0,0.0,-20.062,-46.25,-12.313
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.437,-45.875,-12.688
-0.34375,-0.191406,9.425781,0.0,0.0,0.0,-20.437,-45.875,-12.688
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.437,-45.875,-12.688
-0.34375,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-46.563,-12.313
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-46.563,-12.313
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-46.563,-12.313
-0.34375,-0.191406,9.460938,0.0,0.0,0.0,-20.062,-46.563,-12.313
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-46.563,-12.313
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-46.563,-12.313
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-46.563,-12.313
-0.34375,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-46.563,-12.313
-0.34375,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-46.563,-12.313
-0.34375,-0.191406,9.382813,0.0,0.0,0.0,-20.062,-46.25,-12.688
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-19.312,-46.563,-13.125
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-47.313,-11.5
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-47.313,-11.5
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-47.313,-11.5
-0.34375,-0.191406,9.425781,0.0,0.0,0.0,-19.312,-47.313,-12.688
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-19.312,-47.313,-12.688
-0.34375,-0.191406,9.425781,0.0,0.0,0.0,-19.312,-47.313,-12.688
-0.34375,-0.191406,9.460938,0.0,0.0,0.0,-20.062,-46.25,-12.688
-0.34375,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-46.25,-12.688
-0.34375,-0.152344,9.421875,0.0,0.0,0.0,-20.062,-46.25,-12.688
-0.34375,-0.152344,9.421875,0.0,0.0,0.0,-19.687,-47.0,-11.5
-0.34375,-0.152344,9.421875,0.0,0.0,0.0,-19.687,-47.0,-11.5
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-19.687,-47.0,-11.5
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-46.938,-12.313
-0.382813,-0.191406,9.425781,0.0,0.0,0.0,-20.062,-47.0,-11.5
-0.382813,-0.191406,9.460938,0.0,0.0,0.0,-20.75,-48.063,-11.063
