time(s),accel_true_x(m/s^2),accel_true_y(m/s^2),accel_true_z(m/s^2),accel_meas_x(m/s^2),accel_meas_y(m/s^2),accel_meas_z(m/s^2),quat_true_w,quat_true_x,quat_true_y,quat_true_z,quat_meas_w,quat_meas_x,quat_meas_y,quat_meas_z,inclin_true_pitch(rad),inclin_true_roll(rad),inclin_meas_pitch(rad),inclin_meas_roll(rad),euler_true_roll(rad),euler_true_pitch(rad),euler_true_yaw(rad)
0.19,0.0,0.0,-9.81,0.0039007325763922686,0.004566749783456619,-9.806817471236162,1.0,0.0,0.0,0.0,0.935167644184136,-0.34107414921794005,0.09437103095530688,0.014966981084508118,0.0,0.0,0.0010930081464481506,-0.00015191764718238738,0.0,0.0,0.0
0.1925,0.0,0.0,-9.81,0.004209737844564976,0.005276467089225831,-9.803675710288214,1.0,0.0,0.0,0.0,0.9504198525054489,-0.27842580114073645,0.1351443543257709,0.03028499160525647,0.0,0.0,0.0011026453522173388,-0.0001930301205214163,0.0,0.0,0.0
0.195,0.0,0.0,-9.81,0.004046868322975772,0.004135069640040203,-9.807622359188002,1.0,0.0,0.0,0.0,0.9559514875739895,-0.24839804289611966,0.15525590519316732,0.018728843880602482,0.0,0.0,0.0010696811378181812,-0.00030652975151666974,0.0,0.0,0.0
0.1975,0.0,0.0,-9.81,0.004713542211518643,0.003654538237241294,-9.80571815020601,1.0,0.0,0.0,0.0,0.9444492619767323,-0.2690487441716768,0.18740925265665592,-0.02249748496882946,0.0,0.0,0.0010452907987224267,-0.00028245898893408,0.0,0.0,0.0
0.2,0.0,0.0,-9.81,0.003872934864096748,0.00479405297364474,-9.807163846316627,1.0,0.0,0.0,0.0,0.9382873317425345,-0.2661957995994733,0.22077564766602248,0.0038461363366688213,0.0,0.0,0.0012072706088039622,-0.0002874939469452548,0.0,0.0,0.0
0.2025,0.0,0.0,-9.81,0.0031782877461748035,0.007411123850857307,-9.806610296378159,1.0,0.0,0.0,0.0,0.9601561937728331,-0.23026746254464267,0.15835073954102932,0.0014221602323761485,0.0,0.0,0.0011397273862667275,-0.0002917633974818701,0.0,0.0,0.0
0.20500000000000002,0.0,0.0,-9.81,0.0036140833741588885,0.007067047222834187,-9.801675735941803,1.0,0.0,0.0,0.0,0.9420092283184236,-0.25481788998743204,0.21699223708706702,0.024511747168065756,0.0,0.0,0.0011446012431159903,-0.00022433025553994946,0.0,0.0,0.0
0.20750000000000002,0.0,0.0,-9.81,0.0035260660778725725,0.004471570977860487,-9.804692989116543,1.0,0.0,0.0,0.0,0.9295675139668431,-0.2944362169530838,0.22105240336881896,-0.018638296293613,0.0,0.0,0.0010876226530812463,-0.0002466205618692714,0.0,0.0,0.0
0.21,0.0,0.0,-9.81,0.006939677127465382,0.003743469218689964,-9.805383692024673,1.0,0.0,0.0,0.0,0.9200226047281809,-0.2878498044696859,0.265880845411854,0.0028762647678945577,0.0,0.0,0.001061539590663487,-0.00022112995513934517,0.0,0.0,0.0
0.2125,0.0,0.0,-9.81,0.0058199263270246725,0.00541671966964721,-9.805537735695838,1.0,0.0,0.0,0.0,0.9084250838446796,-0.29996837529876236,0.2905599249036974,0.018914832866440995,0.0,0.0,0.0010720013149014647,-0.00030865880871926556,0.0,0.0,0.0
0.215,0.0,0.0,-9.81,0.00474749037076462,0.003286747633548531,-9.805375330496657,1.0,0.0,0.0,0.0,0.902108221734871,-0.34828826948749536,0.25202390347617964,0.03714821250590255,0.0,0.0,0.001028911539303372,-0.0002354495587515545,0.0,0.0,0.0
0.2175,0.0,0.0,-9.81,0.00459146192425946,0.005178263960090103,-9.80574862013655,1.0,0.0,0.0,0.0,0.9028308957097542,-0.3160102847603127,0.2827093022701631,0.07147953614529441,0.0,0.0,0.0011785052190653015,-0.00023610909969448585,0.0,0.0,0.0
0.22,0.0,0.0,-9.81,0.005460000841035628,0.006096966517573938,-9.804912059681334,1.0,0.0,0.0,0.0,0.8959176495332147,-0.29161297312468515,0.32519340481628056,0.08088688783885996,0.0,0.0,0.0010896123059948365,-0.0002295204193188027,0.0,0.0,0.0
0.2225,0.0,0.0,-9.81,0.005319017292685862,0.0049675638440991494,-9.805094900669332,1.0,0.0,0.0,0.0,0.9088680402540519,-0.2835383184404452,0.29627238155606217,0.07607616780452911,0.0,0.0,0.001164206285512547,-0.00023299940008160994,0.0,0.0,0.0
0.225,0.0,0.0,-9.81,0.004055726194520068,0.005277513745989483,-9.805209506326332,1.0,0.0,0.0,0.0,0.9032099848237312,-0.26993250812469377,0.3314332616082825,0.038731866362506494,0.0,0.0,0.0010743080947313987,-0.00018656109958723274,0.0,0.0,0.0
0.2275,0.0,0.0,-9.81,0.00736865909961131,0.0067568387202133606,-9.804640858607641,1.0,0.0,0.0,0.0,0.9228907280813515,-0.22351658570990723,0.31338980529623967,0.009993491404085071,0.0,0.0,0.001118273828844692,-0.00016407424528910543,0.0,0.0,0.0
0.23,0.0,0.0,-9.81,0.004006881664189258,0.0035956916974755164,-9.803693024744215,1.0,0.0,0.0,0.0,0.9280875073804454,-0.19333172226969944,0.31313941813021756,0.05674617715452023,0.0,0.0,0.0011054183269215364,-0.00030859928956847955,0.0,0.0,0.0
0.2325,0.0,0.0,-9.81,0.005214255837998181,0.005470128785791926,-9.807148377706667,1.0,0.0,0.0,0.0,0.9242365845860476,-0.1578235459417139,0.32085594282629665,0.13390268112382783,0.0,0.0,0.0010241875460689953,-0.00015804385660005932,0.0,0.0,0.0
0.23500000000000001,0.0,0.0,-9.81,0.005996595092793979,0.005439852738078305,-9.806401976915556,1.0,0.0,0.0,0.0,0.8951480817558917,-0.223038305636274,0.3684418142086639,0.11495414516352286,0.0,0.0,0.0011860751203181426,-0.00025388584501890465,0.0,0.0,0.0
